email;fio;tel;cat
ivan34@gmail.com;Иванов Иван Иванович;+79123456789;море
anna78@mail.ru;Петрова Анна Петровна;+79987654321;авто
sergey12@yandex.ru;Сидоров Сергей Сергеевич;+79234567890;ЖД
maria56@mail.ru;Кузнецова Мария Дмитриевна;+79345678901;море
petr89@bk.ru;Смирнов Петр Александрович;+79456789012;авто
elena23@gmail.com;Попова Елена Андреевна;+79567890123;ЖД
alexandr45@rambler.ru;Васильев Александр Владимирович;+79678901234;море
olga67@yandex.ru;Морозова Ольга Михайловна;+79789012345;авто
dmitry90@mail.ru;Николаев Дмитрий Сергеевич;+79890123456;ЖД
tatiana11@bk.ru;Федорова Татьяна Геннадьевна;+79901234567;море
ivanov78@gmail.com;Иванов Петр Иванович;+79123456789;авто
petrova45@mail.ru;Петрова Мария Петровна;+79987654321;ЖД
sidorov34@yandex.ru;Сидоров Иван Сергеевич;+79234567890;море
kuznetsova89@mail.ru;Кузнецова Анна Дмитриевна;+79345678901;авто
smirnov23@bk.ru;Смирнов Сергей Александрович;+79456789012;ЖД
popova67@gmail.com;Попова Елена Андреевна;+79567890123;море
vasiliev45@rambler.ru;Васильев Александр Владимирович;+79678901234;авто
morozova12@yandex.ru;Морозова Ольга Михайловна;+79789012345;ЖД
nikolaev78@mail.ru;Николаев Дмитрий Сергеевич;+79890123456;море
fedorova34@bk.ru;Федорова Татьяна Геннадьевна;+79901234567;авто
ivanov12@gmail.com;Иванов Сергей Иванович;+79123456789;ЖД
petrova78@mail.ru;Петрова Мария Петровна;+79987654321;море
sidorov56@yandex.ru;Сидоров Петр Сергеевич;+79234567890;авто
kuznetsova23@mail.ru;Кузнецова Елена Дмитриевна;+79345678901;ЖД
smirnov45@bk.ru;Смирнов Александр Александрович;+79456789012;море
popova89@gmail.com;Попова Ольга Андреевна;+79567890123;авто
vasiliev12@rambler.ru;Васильев Дмитрий Владимирович;+79678901234;ЖД
morozova78@yandex.ru;Морозова Татьяна Михайловна;+79789012345;море
nikolaev34@mail.ru;Николаев Сергей Сергеевич;+79890123456;авто
fedorova56@bk.ru;Федорова Анна Геннадьевна;+79901234567;ЖД
ivanov89@gmail.com;Иванов Дмитрий Иванович;+79123456789;море
petrova23@mail.ru;Петрова Татьяна Петровна;+79987654321;авто
sidorov45@yandex.ru;Сидоров Александр Сергеевич;+79234567890;ЖД
kuznetsova78@mail.ru;Кузнецова Ольга Дмитриевна;+79345678901;море
smirnov12@bk.ru;Смирнов Иван Александрович;+79456789012;авто
popova34@gmail.com;Попова Мария Андреевна;+79567890123;ЖД
vasiliev56@rambler.ru;Васильев Петр Владимирович;+79678901234;море
morozova23@yandex.ru;Морозова Елена Михайловна;+79789012345;авто
